./pthread_arena.elf 10 100 6 1	 
0x7f95d8001aa0 -671081824 67
0x7f95d8001af0 -671081744 48
0x7f95d8000940 -671086272 5
0x7f95d8001b30 -671081680 49
0x7f95d8000940 -671086272 3
0x7f95d8001a40 -671081920 80
0x7f95d8001aa0 -671081824 31
0x7f95d8001ad0 -671081776 11
0x7f95d8001af0 -671081744 78
0x7f95d8001b50 -671081648 44
0x7f95d8000940 -671086272 23
0x7f95d8001a80 -671081856 36
0x7f95d8001ab0 -671081808 10
0x7f95d8001ad0 -671081776 52
0x7f95d8001b10 -671081712 6
0x7f95d8001b30 -671081680 20
0x7f95d8001ac0 -671081792 71
0x7f95d8000940 -671086272 23
0x7f95d8001b10 -671081712 52
0x7f95d8001b50 -671081648 6
0x7f95d8001b70 -671081616 47
0x7f95d8001bb0 -671081552 37
0x7f95d8000940 -671086272 23
0x7f95d8001b00 -671081728 66
0x7f95d8001b50 -671081648 81
0x7f95d8001bb0 -671081552 43
0x7f95d8001bf0 -671081488 82
0x7f95d8001c50 -671081392 22
0x7f95d8001b40 -671081664 62
0x7f95d8001b90 -671081584 91
0x7f95d8001c00 -671081472 58
0x7f95d8001c50 -671081392 49
0x7f95d8001c90 -671081328 49
0x7f95d8000940 -671086272 20
0x7f95d8000940 -671086272 32
0x7f95d8001b80 -671081600 92
0x7f95d8001bf0 -671081488 82
0x7f95d8001c50 -671081392 8
0x7f95d8001c70 -671081360 37
0x7f95d8001ca0 -671081312 92
./pthread_arena.elf 10 100 6 1	 
0x7fa298000900 -1744828160 2
0x7fa298001930 -1744824016 83
0x7fa298001990 -1744823920 70
0x7fa2980019e0 -1744823840 19
0x7fa298001a00 -1744823808 98
0x7fa298001a70 -1744823696 81
0x7fa298000900 -1744828160 15
0x7fa298001970 -1744823952 65
0x7fa2980019c0 -1744823872 23
0x7fa2980019e0 -1744823840 44
0x7fa298001a20 -1744823776 62
0x7fa298001a70 -1744823696 44
0x7fa2980019b0 -1744823888 62
0x7fa298001a00 -1744823808 68
0x7fa298001a50 -1744823728 93
0x7fa298001ac0 -1744823616 52
0x7fa298001b00 -1744823552 53
0x7fa298000900 -1744828160 18
0x7fa2980019f0 -1744823824 59
0x7fa298001a40 -1744823744 84
0x7fa298000900 -1744828160 0
0x7fa298001aa0 -1744823648 1
0x7fa298001ac0 -1744823616 90
0x7fa298001b30 -1744823504 99
0x7fa298001a30 -1744823760 96
0x7fa298001aa0 -1744823648 31
0x7fa298001ad0 -1744823600 86
0x7fa298001b30 -1744823504 65
0x7fa298001b80 -1744823424 61
0x7fa298001bd0 -1744823344 95
0x7fa298001a70 -1744823696 66
0x7fa298001ac0 -1744823616 52
0x7fa298000900 -1744828160 0
0x7fa298001b00 -1744823552 86
0x7fa298001b60 -1744823456 90
0x7fa298001bd0 -1744823344 88
0x7fa298001ab0 -1744823632 61
0x7fa298000900 -1744828160 19
0x7fa298001b00 -1744823552 23
0x7fa298001b20 -1744823520 26
0x7fa298001b50 -1744823472 98
0x7fa298001bc0 -1744823360 90
0x7fa298001af0 -1744823568 90
0x7fa298001b60 -1744823456 70
0x7fa298000900 -1744828160 19
0x7fa298001bb0 -1744823376 26
0x7fa298001be0 -1744823328 86
0x7fa298001c40 -1744823232 21
0x7fa298001b30 -1744823504 37
0x7fa298000900 -1744828160 15
0x7fa298001b60 -1744823456 39
0x7fa298001b90 -1744823408 1
0x7fa298001bb0 -1744823376 55
0x7fa298001bf0 -1744823312 35
0x7fa298001b70 -1744823440 86
0x7fa298001bd0 -1744823344 66
0x7fa298000900 -1744828160 14
0x7fa298001c20 -1744823264 39
0x7fa298001c50 -1744823216 52
0x7fa298001c90 -1744823152 25
./pthread_arena.elf 10 100 6 1	 
0x7f7c04000900 67111168 51
0x7f7c04001950 67115344 40
0x7f7c04001980 67115392 85
0x7f7c040019e0 67115488 78
0x7f7c04001a40 67115584 4
0x7f7c04001a60 67115616 99
0x7f7c04001950 67115344 3
0x7f7c04001970 67115376 6
0x7f7c04001990 67115408 51
0x7f7c040019d0 67115472 35
0x7f7c04001a00 67115520 63
0x7f7c04001a50 67115600 7
0x7f7c04001990 67115408 12
0x7f7c040019b0 67115440 39
0x7f7c040019e0 67115488 7
0x7f7c04001a00 67115520 43
0x7f7c04001a40 67115584 36
0x7f7c04001a70 67115632 92
0x7f7c040019d0 67115472 37
0x7f7c04001a00 67115520 98
0x7f7c04001a70 67115632 48
0x7f7c04001ab0 67115696 17
0x7f7c04001ad0 67115728 68
0x7f7c04001b20 67115808 2
0x7f7c04001a10 67115536 58
0x7f7c04001a60 67115616 43
0x7f7c04001aa0 67115680 27
0x7f7c04001ad0 67115728 66
0x7f7c04001b20 67115808 22
0x7f7c04001b40 67115840 71
0x7f7c04001a50 67115600 30
0x7f7c04001a80 67115648 99
0x7f7c04001af0 67115760 31
0x7f7c04001b20 67115808 93
0x7f7c04001b90 67115920 94
0x7f7c04001c00 67116032 13
0x7f7c04001a90 67115664 59
0x7f7c04001ae0 67115744 64
0x7f7c04001b30 67115824 3
0x7f7c04001b50 67115856 29
0x7f7c04001b80 67115904 94
0x7f7c04001bf0 67116016 33
0x7f7c04001ad0 67115728 10
0x7f7c04001af0 67115760 95
0x7f7c04001b60 67115872 93
0x7f7c04001bd0 67115984 50
0x7f7c04001c10 67116048 39
0x7f7c04001c40 67116096 72
0x7f7c04001b10 67115792 83
0x7f7c04001b70 67115888 20
0x7f7c04001b90 67115920 14
0x7f7c04001bb0 67115952 48
0x7f7c04001bf0 67116016 44
0x7f7c04001c30 67116080 30
0x7f7c04001b50 67115856 32
0x7f7c04001b80 67115904 18
0x7f7c04001ba0 67115936 65
0x7f7c04001bf0 67116016 82
0x7f7c04001c50 67116112 24
0x7f7c04001c70 67116144 37
./pthread_arena.elf 10 100 6 1	 
0x7fdc68000900 1744832768 40
0x7fdc68001940 1744836928 69
0x7fdc68001990 1744837008 78
0x7fdc680019f0 1744837104 75
0x7fdc68001a50 1744837200 80
0x7fdc68001ab0 1744837296 66
0x7fdc68000900 1744832768 19
0x7fdc68001980 1744836992 22
0x7fdc680019a0 1744837024 91
0x7fdc68001a10 1744837136 68
0x7fdc68001a60 1744837216 69
0x7fdc68001ab0 1744837296 21
0x7fdc680019c0 1744837056 72
0x7fdc68001a10 1744837136 49
0x7fdc68001a50 1744837200 89
0x7fdc68001ac0 1744837312 47
0x7fdc68000900 1744832768 27
0x7fdc68001b00 1744837376 6
0x7fdc68000900 1744832768 39
0x7fdc68001a00 1744837120 31
0x7fdc68001a30 1744837168 11
0x7fdc68001a50 1744837200 91
0x7fdc68001ac0 1744837312 81
0x7fdc68001b20 1744837408 17
0x7fdc68000900 1744832768 31
0x7fdc68001a40 1744837184 7
0x7fdc68001a60 1744837216 58
0x7fdc68001ab0 1744837296 94
0x7fdc68001b20 1744837408 89
0x7fdc68001b90 1744837520 23
0x7fdc68000900 1744832768 34
0x7fdc68001a80 1744837248 21
0x7fdc68001aa0 1744837280 40
0x7fdc68001ad0 1744837328 95
0x7fdc68001b40 1744837440 57
0x7fdc68001b90 1744837520 30
0x7fdc68001ac0 1744837312 54
0x7fdc68000900 1744832768 8
0x7fdc68001b00 1744837376 3
0x7fdc68001b20 1744837408 63
0x7fdc68001b70 1744837488 53
0x7fdc68001bb0 1744837552 74
0x7fdc68000900 1744832768 5
0x7fdc68001b00 1744837376 60
0x7fdc68001b50 1744837456 14
0x7fdc68001b70 1744837488 89
0x7fdc68001be0 1744837600 1
0x7fdc68001c00 1744837632 5
